Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
1.733	4.689	0.000	1.296	3.731	0.044	0.437	0.958	-0.044
3.568	-3.504	0.000	2.958	-2.953	-0.091	0.610	-0.551	0.091
4.654	-1.830	-0.000	3.999	-1.470	0.014	0.655	-0.359	-0.014
3.928	-3.094	-0.000	3.309	-2.730	-0.024	0.619	-0.364	0.024
4.390	2.395	-0.000	3.965	2.080	-0.037	0.424	0.315	0.037
4.325	2.507	0.000	3.815	2.218	0.096	0.511	0.288	-0.096
3.580	-3.491	-0.000	2.908	-2.902	-0.081	0.672	-0.589	0.081
2.102	-4.537	0.000	1.591	-3.588	-0.023	0.512	-0.950	0.023
4.093	2.871	0.000	3.436	2.348	-0.088	0.657	0.523	0.088
3.964	-3.048	0.000	3.035	-2.398	-0.028	0.929	-0.650	0.028
3.126	-3.903	0.000	2.599	-3.347	-0.071	0.527	-0.556	0.071
2.642	-4.245	0.000	2.113	-3.541	-0.059	0.528	-0.704	0.059
4.397	-2.381	-0.000	3.379	-1.784	0.020	1.018	-0.596	-0.020
3.930	-3.091	0.000	3.070	-2.469	-0.067	0.860	-0.622	0.067
4.723	-1.642	0.000	3.774	-1.380	-0.052	0.949	-0.262	0.052
2.581	4.282	0.000	1.999	3.492	-0.004	0.582	0.790	0.004
4.939	-0.780	0.000	4.278	-0.578	0.013	0.661	-0.202	-0.013
